title,totalScore,reviewsCount,location/lat,location/lng,neighborhood,url,Kecamatan,Jiwa/km²,nearby_alfamart,second_nearby_alfamart,cluster
Indomaret HBR Motik 2,4.3,65,-2.936231,104.7092073,Alang-Alang Lebar,https://www.google.com/maps/search/?api=1&query=Indomaret%20HBR%20Motik%202&query_place_id=ChIJF_25eHR1Oy4RIa3hvxnQfDg,Alang-Alang Lebar,4823,0,0,1
Indomaret Simpang Soak,4.6,9,-2.9300088,104.7386604,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Simpang%20Soak&query_place_id=ChIJKXmprqN1Oy4RqQkRFhJaD9c,Sukarami,5295,1,0,0
Indomaret Mayor Zurbi Bustam,3.7,7,-2.9407503,104.7461465,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Mayor%20Zurbi%20Bustam&query_place_id=ChIJSbMg2CN0Oy4RmqmN9HGzdw4,Sukarami,5295,0,0,1
Indomaret Swadaya,3.6,13,-2.9459359,104.7457529,Kemuning,https://www.google.com/maps/search/?api=1&query=Indomaret%20Swadaya&query_place_id=ChIJq4nq41oFRQURLa-G53V1zHM,Kemuning,12621,0,0,1
Indomaret Soak Simpur Sukabangun,4.6,15,-2.9238335,104.7403206,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Soak%20Simpur%20Sukabangun&query_place_id=ChIJ8_BkdBR1Oy4R-IgUHpLqN0Q,Sukarami,5295,0,0,1
Indomaret Abusamah 160,4.0,27,-2.9383484,104.739619,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomart%20Abusamah%20160&query_place_id=ChIJeZ4UXD10Oy4R0_PyujNHjsA,Sukarami,5295,0,0,1
INDOMARET SUKAWINATAN 14,4.5,82,-2.922787,104.747287,Sukarami,https://www.google.com/maps/search/?api=1&query=INDOMARET%20SUKAWINATAN%2014&query_place_id=ChIJXZynf851Oy4R-rAaw5Kv4vI,Sukarami,5295,0,0,1
Indomaret Sukabangun 2,4.3,83,-2.9271073,104.7394262,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret%20Sukabangun%202&query_place_id=ChIJ4z5m0Eh1Oy4RS3h8PwhnwlI,Sukarami,5295,1,0,0
Km 7 indomaret,4.0,1,-2.94021,104.723538,Sukarami,https://www.google.com/maps/search/?api=1&query=Km%207%20indomaret&query_place_id=ChIJdaD4cgB1Oy4RdcAiyeXS8s4,Sukarami,5295,0,0,1
Indomaret,2.0,3,-2.9321917,104.7238987,Sukarami,https://www.google.com/maps/search/?api=1&query=Indomaret&query_place_id=ChIJwc_pFmx0Oy4RQ2wS0AamsGc,Sukarami,5295,0,0,1
